日付,国内株式,先進国株式,全世界株式,米国株式,バランス
2017-01-04,8220.8125,0,8964.86732426908,0.0,0
2017-01-05,8189.93185953421,0,8931.55247489558,0.0,0
2017-01-06,8161.75327510917,0,8893.47836132587,0.0,0
2017-01-10,8097.67594614265,0,8898.23762552208,0.0,0
2017-01-11,8123.92449053857,0,8905.77312716609,0.0,0
2017-01-12,8027.03648107715,0,8884.75304363281,0.0,0
2017-01-13,8091.11381004367,0,8858.18048520395,0.0,0
2017-01-16,8010.05212882096,0,8831.60792677508,0.0,0
2017-01-17,7891.16166302766,0,8792.740602506,0.0,0
2017-01-18,7925.51637554585,0,8700.3315560295,0.0,0
2017-01-19,8000.78793668122,0,8852.23140495868,0.0,0
2017-01-20,8028.19450509461,0,8857.78387985426,0.0,0
2017-01-23,7924.35835152839,0,8795.51683995379,0.0,0
2017-01-24,7881.12545487627,0,8700.3315560295,0.0,0
2017-01-25,7993.83979257642,0,8820.50297698392,0.0,0
2017-01-26,8138.97880276565,0,8857.38727450458,0.0,0
2017-01-27,8165.99936317322,0,8954.95219052697,0.0,0
2017-01-30,8124.3104985444,0,8961.29787612192,0.0,0
2017-01-31,7986.89164847162,0,8826.0554518795,0.0,0
2017-02-01,8032.05458515284,0,8768.94428152493,0.0,0
2017-02-02,7933.62254366812,0,8793.93041855505,0.0,0
2017-02-03,7935.55258369723,0,8781.63565271483,0.0,0
2017-02-06,7959.0990720524,0,8790.36097040789,0.0,0
2017-02-07,7931.30649563319,0,8712.22971652004,0.0,0
2017-02-08,7972.22334425036,0,8759.02914778281,0.0,0
2017-02-09,7930.53447962154,0,8745.54456589354,0.0,0
2017-02-10,8127.39856259098,0,8923.62036790189,0.0,0
2017-02-13,8160.98125909753,0,8969.6265884653,0.0,0
2017-02-14,8068.72534570597,0,8998.57877899227,0.0,0
2017-02-15,8151.71706695779,0,9076.31342753044,0.0,0
2017-02-16,8113.50227438137,0,9104.07580200836,0.0,0
2017-02-17,8066.79530567686,0,9053.70692259842,0.0,0
2017-02-20,8073.74344978166,0,8998.97538434195,0.0,0
2017-02-21,8128.17057860262,0,9045.77481560473,0.0,0
2017-02-22,8127.7845705968,0,9107.24864480583,0.0,0
2017-02-23,8123.92449053857,0,9082.65911312539,0.0,0
2017-02-24,8091.88582605531,0,9050.53407980094,0.0,0
2017-02-27,8018.54430494905,9914,8964.4707189194,0.0,0
2017-02-28,8022.7903930131,9954,8995.40593619479,0.0,0
2017-03-01,8137.43477074236,9985,9021.18528392429,0.0,0
2017-03-02,8210.3902838428,10184,9192.518794988,0.0,0
2017-03-03,8169.0874272198,10161,9170.30889540567,0.0,0
2017-03-06,8131.2586426492,10140,9147.70239047365,0.0,0
2017-03-07,8116.59033842795,10119,9134.61441393406,0.0,0
2017-03-08,8078.76155385735,10089,9112.40451435173,0.0,0
2017-03-09,8105.78211426492,10122,9140.56349417933,0.0,0
2017-03-10,8225.44459606987,10191,9189.74255754021,0.0,0
2017-03-13,8238.18286026201,10206,9203.22713942949,0.0,0
2017-03-14,8227.37463609898,10222,9229.00648715898,0.0,0
2017-03-15,8213.8643558952,10178,9195.69163778548,0.0,0
2017-03-16,8219.26846797671,10146,9167.53265795788,0.0,0
2017-03-17,8190.31786754003,10184,9214.72869457034,0.0,0
2017-03-21,8162.91129912664,10069,9123.90606949258,0.0,0
2017-03-22,7989.59370451237,9913,8990.25006664889,0.0,0
2017-03-23,8006.96406477438,9886,8963.28090287035,0.0,0
2017-03-24,8081.46360989811,9884,8960.50466542255,0.0,0
2017-03-27,7964.50318413392,9817,8901.01386296988,0.0,0
2017-03-28,8055.21506550218,9836,8913.70523415978,0.0,0
2017-03-29,8116.97634643377,9914,8982.71456500489,0.0,0
2017-03-30,8052.1270014556,9960,9024.75473207145,0.0,0
2017-03-31,7986.89164847162,10049,9095.74708966498,0.0,0
2017-04-03,8018.54430494905,9954,9006.90749133565,0.0,0
2017-04-04,7944.43076783115,9863,8930.75926419622,0.0,0
2017-04-05,7965.66120815138,9889,8953.36576912823,0.0,0
2017-04-06,7854.49090247453,9851,8924.41357860126,0.0,0
2017-04-07,7883.05549490539,9897,8959.71145472319,0.0,0
2017-04-10,7938.64064774381,9925,8983.90438105394,0.0,0
2017-04-11,7917.02419941776,9887,8944.64045143518,0.0,0
2017-04-12,7834.80449417758,9771,8836.76379632098,0.0,0
2017-04-13,7781.53538937409,9699,8779.25602061673,0.0,0
2017-04-14,7743.32059679767,9664,8755.06309428597,0.0,0
2017-04-17,7751.04075691412,9587,8682.4843152937,0.0,0
2017-04-18,7779.21934133916,9728,8807.81160579401,0.0,0
2017-04-19,7783.85143740903,9637,8722.54145561184,0.0,0
2017-04-20,7784.23744541485,9662,8740.38869634764,0.0,0
2017-04-21,7864.14110262009,9746,8817.72673953613,0.0,0
2017-04-24,7972.60935225619,9805,8876.82093663912,0.0,0
2017-04-25,8057.91712154294,9943,8994.21612014574,0.0,0
2017-04-26,8146.6989628821,10135,9175.06815960188,0.0,0
2017-04-27,8131.64465065502,10132,9171.10210610504,0.0,0
2017-04-28,8108.8701783115,10119,9156.8243135164,0.0,0
2017-05-01,8157.50718704512,10128,9165.94623655914,0.0,0
2017-05-02,8215.02237991266,10181,9213.53887852128,0.0,0
2017-05-08,8405.71033478894,10352,9355.12698835866,0.0,0
2017-05-09,8383.70787845706,10390,9395.97733937617,0.0,10019
2017-05-10,8407.64037481805,10435,9445.15640273705,0.0,10051
2017-05-11,8434.66093522562,10484,9495.1286767973,0.0,10090
2017-05-12,8401.85025473071,10431,9455.86474717853,0.0,10067
2017-05-15,8396.4461426492,10397,9424.53292455345,0.0,10051
2017-05-16,8416.90456695779,10487,9510.99289078468,0.0,10101
2017-05-17,8372.51364628821,10404,9436.82769039367,0.0,10049
2017-05-18,8263.27338064047,10116,9180.62063449747,0.0,9931
2017-05-19,8278.32769286754,10142,9182.20705589621,0.0,9899
2017-05-22,8314.99845342067,10242,9276.59912912112,0.0,9961
