年月日,口座,商品名,アセット,価格,備考
2017-11-17,,ニッセイ日経225インデックスファンド,国内株式,100000,マネフォからの推測
2017-11-21,,ニッセイ日経225インデックスファンド,国内株式,900000,マネフォからの推測
2017-11-24,,ニッセイ日経225インデックスファンド,国内株式,4000000,1608558
2017-11-27,,ニッセイ外国株式インデックスファンド,先進国株式,5000000,
2017-12-21,,ニッセイ外国株式インデックスファンド,先進国株式,5000000,
2018-01-12,,eMAXIS Slim 先進国株式インデックス,先進国株式,5000000,
2018-01-26,,eMAXIS Slim 先進国株式インデックス,先進国株式,4000000,
2018-01-29,,eMAXIS Slim 先進国株式インデックス,先進国株式,1000000,
2018-02-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-03-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-04-04,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-05-07,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-06-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-07-04,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-08-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-09-03,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-10-03,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-11-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2018-12-03,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-01-07,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-02-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-03-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-04-02,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-05-08,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-06-03,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-06-12,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,66667,
2019-07-03,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-07-12,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,66667,
2019-08-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-08-14,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,66667,
2019-09-04,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-09-12,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,66667,
2019-10-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-10-15,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,66667,
2019-11-01,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
2019-11-13,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,66667,
2019-12-03,つみたてNISA,eMAXIS Slim バランス(８資産均等型),バランス,33333,
